Stock,Side,Entry,StopLoss,Target,Confidence,Strategy,StrategyType,Timestamp,Notes
RELIANCE.NS,BUY,1376.9,1359.0,1412.7001,0.91,market_structure_orderblock,intraday,2025-10-09T12:13:42.677564+05:30,"{'last_peak_idx': 376, 'last_trough_idx': 359, 'peak_price': 1393.3, 'trough_price': 1359.0, 'zone_range': 34.3, 'buy_threshold': 1368.3639, 'sell_threshold': 1383.9361, 'atr': 6.550005, 'last_close': 1376.9, 'move_pct': -0.1885}"
BHARTIARTL.NS,BUY,1941.8,1862.8,2099.8,0.9,market_structure_orderblock,intraday,2025-10-09T12:13:44.021040+05:30,"{'last_peak_idx': 327, 'last_trough_idx': 351, 'peak_price': 1945.6, 'trough_price': 1862.8, 'zone_range': 82.7999, 'buy_threshold': 1885.4044, 'sell_threshold': 1922.9956, 'atr': 11.721436, 'last_close': 1941.8, 'move_pct': -0.1543}"
SBIN.NS,SELL,861.65,874.1,836.7501,0.89,market_structure_orderblock,intraday,2025-10-09T12:13:44.823607+05:30,"{'last_peak_idx': 370, 'last_trough_idx': 356, 'peak_price': 874.1, 'trough_price': 863.05, 'zone_range': 11.05, 'buy_threshold': 866.0666, 'sell_threshold': 871.0833, 'atr': 4.307138, 'last_close': 861.65, 'move_pct': 0.1278}"
TATAMOTORS.NS,SELL,672.8,722.3,573.8,0.93,market_structure_orderblock,intraday,2025-10-09T12:13:45.663922+05:30,"{'last_peak_idx': 358, 'last_trough_idx': 344, 'peak_price': 722.3, 'trough_price': 669.4, 'zone_range': 52.9, 'buy_threshold': 683.8417, 'sell_threshold': 707.8583, 'atr': 5.660719, 'last_close': 672.8, 'move_pct': -0.2298}"
TATASTEEL.NS,BUY,176.1,169.94,188.42,1.0,market_structure_orderblock,intraday,2025-10-09T12:13:46.771144+05:30,"{'last_peak_idx': 359, 'last_trough_idx': 368, 'peak_price': 174.13, 'trough_price': 169.94, 'zone_range': 4.19, 'buy_threshold': 171.0839, 'sell_threshold': 172.9861, 'atr': 1.612143, 'last_close': 176.1, 'move_pct': -0.4747}"
INFY.NS,BUY,1503.8,1454.8,1601.8,0.96,market_structure_orderblock,intraday,2025-10-09T12:13:47.964448+05:30,"{'last_peak_idx': 301, 'last_trough_idx': 377, 'peak_price': 1544.0, 'trough_price': 1454.8, 'zone_range': 89.2, 'buy_threshold': 1479.1516, 'sell_threshold': 1519.6484, 'atr': 11.407166, 'last_close': 1503.8, 'move_pct': 0.3202}"
ICICIBANK.NS,BUY,1375.7,1363.4,1400.2998,0.88,market_structure_orderblock,intraday,2025-10-09T12:13:50.106364+05:30,"{'last_peak_idx': 371, 'last_trough_idx': 361, 'peak_price': 1380.9, 'trough_price': 1363.4, 'zone_range': 17.5, 'buy_threshold': 1368.1775, 'sell_threshold': 1376.1225, 'atr': 6.185713, 'last_close': 1375.7, 'move_pct': -0.0872}"
ADANIENT.NS,BUY,2546.3999,2487.0,2665.1997,0.92,market_structure_orderblock,intraday,2025-10-09T12:13:51.495859+05:30,"{'last_peak_idx': 371, 'last_trough_idx': 351, 'peak_price': 2603.1001, 'trough_price': 2487.0, 'zone_range': 116.1001, 'buy_threshold': 2518.6953, 'sell_threshold': 2571.4048, 'atr': 22.071463, 'last_close': 2546.3999, 'move_pct': -0.2194}"
HDFCLIFE.NS,SELL,750.8,763.3,725.8,1.0,market_structure_orderblock,intraday,2025-10-09T12:13:52.364460+05:30,"{'last_peak_idx': 370, 'last_trough_idx': 367, 'peak_price': 763.3, 'trough_price': 755.0, 'zone_range': 8.3, 'buy_threshold': 757.2659, 'sell_threshold': 761.0341, 'atr': 4.142862, 'last_close': 750.8, 'move_pct': 1.0294}"
ULTRACEMCO.NS,SELL,12020.0,12185.0,11690.0,0.92,market_structure_orderblock,intraday,2025-10-09T12:13:53.154470+05:30,"{'last_peak_idx': 373, 'last_trough_idx': 359, 'peak_price': 12185.0, 'trough_price': 11992.0, 'zone_range': 193.0, 'buy_threshold': 12044.689, 'sell_threshold': 12132.311, 'atr': 55.428571, 'last_close': 12020.0, 'move_pct': -0.1993}"
TITAN.NS,BUY,3538.8,3411.1001,3794.2,0.87,market_structure_orderblock,intraday,2025-10-09T12:13:54.046182+05:30,"{'last_peak_idx': 362, 'last_trough_idx': 376, 'peak_price': 3453.3, 'trough_price': 3411.1001, 'zone_range': 42.2, 'buy_threshold': 3422.6207, 'sell_threshold': 3441.7795, 'atr': 29.249948, 'last_close': 3538.8, 'move_pct': -0.0593}"
HDFCBANK.NS,BUY,976.25,943.65,1041.45,0.88,market_structure_orderblock,intraday,2025-10-09T12:13:55.126476+05:30,"{'last_peak_idx': 373, 'last_trough_idx': 331, 'peak_price': 988.9, 'trough_price': 943.65, 'zone_range': 45.25, 'buy_threshold': 956.0033, 'sell_threshold': 976.5468, 'atr': 4.878571, 'last_close': 976.25, 'move_pct': -0.0768}"
ITC.NS,SELL,399.4,405.55,387.1,0.9,market_structure_orderblock,intraday,2025-10-09T12:13:55.995151+05:30,"{'last_peak_idx': 356, 'last_trough_idx': 351, 'peak_price': 405.55, 'trough_price': 400.05, 'zone_range': 5.5, 'buy_threshold': 401.5515, 'sell_threshold': 404.0485, 'atr': 1.346433, 'last_close': 399.4, 'move_pct': -0.15}"
RELIANCE.NS,BUY,1377.0,1359.0,1413.0,0.86,market_structure_orderblock,intraday,2025-10-09T12:16:26.118150+05:30,"{'last_peak_idx': 376, 'last_trough_idx': 359, 'peak_price': 1393.3, 'trough_price': 1359.0, 'zone_range': 34.3, 'buy_threshold': 1368.3639, 'sell_threshold': 1383.9361, 'atr': 6.242859, 'last_close': 1377.0, 'move_pct': 0.0363}"
BHARTIARTL.NS,BUY,1944.0,1862.8,2106.3999,0.89,market_structure_orderblock,intraday,2025-10-09T12:16:27.031253+05:30,"{'last_peak_idx': 327, 'last_trough_idx': 351, 'peak_price': 1945.6, 'trough_price': 1862.8, 'zone_range': 82.7999, 'buy_threshold': 1885.4044, 'sell_threshold': 1922.9956, 'atr': 11.135725, 'last_close': 1944.0, 'move_pct': 0.1185}"
SBIN.NS,SELL,862.0,874.1,837.8,0.88,market_structure_orderblock,intraday,2025-10-09T12:16:28.007446+05:30,"{'last_peak_idx': 370, 'last_trough_idx': 356, 'peak_price': 874.1, 'trough_price': 863.05, 'zone_range': 11.05, 'buy_threshold': 866.0666, 'sell_threshold': 871.0833, 'atr': 4.149998, 'last_close': 862.0, 'move_pct': 0.0755}"
TATAMOTORS.NS,SELL,672.75,722.3,573.65,0.87,market_structure_orderblock,intraday,2025-10-09T12:16:28.937248+05:30,"{'last_peak_idx': 358, 'last_trough_idx': 344, 'peak_price': 722.3, 'trough_price': 669.4, 'zone_range': 52.9, 'buy_threshold': 683.8417, 'sell_threshold': 707.8583, 'atr': 5.367863, 'last_close': 672.75, 'move_pct': 0.052}"
TATASTEEL.NS,BUY,176.27,169.94,188.93,0.89,market_structure_orderblock,intraday,2025-10-09T12:16:30.112177+05:30,"{'last_peak_idx': 359, 'last_trough_idx': 368, 'peak_price': 174.13, 'trough_price': 169.94, 'zone_range': 4.19, 'buy_threshold': 171.0839, 'sell_threshold': 172.9861, 'atr': 1.55, 'last_close': 176.27, 'move_pct': 0.125}"
INFY.NS,BUY,1504.4,1454.8,1603.6,0.87,market_structure_orderblock,intraday,2025-10-09T12:16:30.952203+05:30,"{'last_peak_idx': 301, 'last_trough_idx': 377, 'peak_price': 1544.0, 'trough_price': 1454.8, 'zone_range': 89.2, 'buy_threshold': 1479.1516, 'sell_threshold': 1519.6484, 'atr': 10.835737, 'last_close': 1504.4, 'move_pct': 0.0665}"
ICICIBANK.NS,BUY,1375.9,1363.4,1400.9,0.87,market_structure_orderblock,intraday,2025-10-09T12:16:31.846926+05:30,"{'last_peak_idx': 371, 'last_trough_idx': 361, 'peak_price': 1380.9, 'trough_price': 1363.4, 'zone_range': 17.5, 'buy_threshold': 1368.1775, 'sell_threshold': 1376.1225, 'atr': 5.950003, 'last_close': 1375.9, 'move_pct': 0.0727}"
HDFCLIFE.NS,SELL,751.2,763.3,727.0001,0.87,market_structure_orderblock,intraday,2025-10-09T12:16:32.787283+05:30,"{'last_peak_idx': 370, 'last_trough_idx': 367, 'peak_price': 763.3, 'trough_price': 755.0, 'zone_range': 8.3, 'buy_threshold': 757.2659, 'sell_threshold': 761.0341, 'atr': 3.971436, 'last_close': 751.2, 'move_pct': 0.0533}"
WIPRO.NS,BUY,245.67,238.1,260.81,0.86,market_structure_orderblock,intraday,2025-10-09T12:16:33.930494+05:30,"{'last_peak_idx': 344, 'last_trough_idx': 351, 'peak_price': 240.57, 'trough_price': 238.1, 'zone_range': 2.47, 'buy_threshold': 238.7743, 'sell_threshold': 239.8957, 'atr': 1.254288, 'last_close': 245.67, 'move_pct': -0.0285}"
ULTRACEMCO.NS,SELL,12030.0,12185.0,11720.0,0.88,market_structure_orderblock,intraday,2025-10-09T12:16:34.687288+05:30,"{'last_peak_idx': 373, 'last_trough_idx': 359, 'peak_price': 12185.0, 'trough_price': 11992.0, 'zone_range': 193.0, 'buy_threshold': 12044.689, 'sell_threshold': 12132.311, 'atr': 52.0, 'last_close': 12030.0, 'move_pct': 0.0832}"
MARUTI.NS,BUY,15908.0,15748.0,16228.0,0.89,market_structure_orderblock,intraday,2025-10-09T12:16:35.502173+05:30,"{'last_peak_idx': 379, 'last_trough_idx': 362, 'peak_price': 16188.0, 'trough_price': 15748.0, 'zone_range': 440.0, 'buy_threshold': 15868.12, 'sell_threshold': 16067.88, 'atr': 73.928571, 'last_close': 15908.0, 'move_pct': 0.1133}"
HCLTECH.NS,BUY,1483.0,1380.7,1687.6001,0.87,market_structure_orderblock,intraday,2025-10-09T12:16:36.409179+05:30,"{'last_peak_idx': 347, 'last_trough_idx': 362, 'peak_price': 1402.4, 'trough_price': 1380.7, 'zone_range': 21.7001, 'buy_threshold': 1386.6241, 'sell_threshold': 1396.4759, 'atr': 11.057155, 'last_close': 1483.0, 'move_pct': 0.0675}"
LT.NS,BUY,3778.3999,3626.0,4083.1997,0.87,market_structure_orderblock,intraday,2025-10-09T12:16:37.362538+05:30,"{'last_peak_idx': 330, 'last_trough_idx': 350, 'peak_price': 3789.8, 'trough_price': 3626.0, 'zone_range': 163.8, 'buy_threshold': 3670.7174, 'sell_threshold': 3745.0826, 'atr': 19.842861, 'last_close': 3778.3999, 'move_pct': 0.0636}"
RELIANCE.NS,BUY,1376.4,1359.0,1411.2001,0.85,market_structure_orderblock,intraday,2025-10-09T12:17:45.922257+05:30,"{'last_peak_idx': 376, 'last_trough_idx': 359, 'peak_price': 1393.3, 'trough_price': 1359.0, 'zone_range': 34.3, 'buy_threshold': 1368.3639, 'sell_threshold': 1383.9361, 'atr': 6.25715, 'last_close': 1376.4, 'move_pct': -0.0073}"
BHARTIARTL.NS,BUY,1942.9,1862.8,2103.1,0.87,market_structure_orderblock,intraday,2025-10-09T12:17:46.661974+05:30,"{'last_peak_idx': 327, 'last_trough_idx': 351, 'peak_price': 1945.6, 'trough_price': 1862.8, 'zone_range': 82.7999, 'buy_threshold': 1885.4044, 'sell_threshold': 1922.9956, 'atr': 11.135725, 'last_close': 1942.9, 'move_pct': 0.0618}"
SBIN.NS,SELL,861.95,874.1,837.6501,0.87,market_structure_orderblock,intraday,2025-10-09T12:17:47.672522+05:30,"{'last_peak_idx': 370, 'last_trough_idx': 356, 'peak_price': 874.1, 'trough_price': 863.05, 'zone_range': 11.05, 'buy_threshold': 866.0666, 'sell_threshold': 871.0833, 'atr': 4.16428, 'last_close': 861.95, 'move_pct': 0.0697}"
TATAMOTORS.NS,SELL,673.35,722.3,575.45,0.9,market_structure_orderblock,intraday,2025-10-09T12:17:49.182107+05:30,"{'last_peak_idx': 358, 'last_trough_idx': 344, 'peak_price': 722.3, 'trough_price': 669.4, 'zone_range': 52.9, 'buy_threshold': 683.8417, 'sell_threshold': 707.8583, 'atr': 5.428576, 'last_close': 673.35, 'move_pct': 0.1413}"
TATASTEEL.NS,BUY,176.06,169.94,188.3,0.85,market_structure_orderblock,intraday,2025-10-09T12:17:49.978408+05:30,"{'last_peak_idx': 359, 'last_trough_idx': 368, 'peak_price': 174.13, 'trough_price': 169.94, 'zone_range': 4.19, 'buy_threshold': 171.0839, 'sell_threshold': 172.9861, 'atr': 1.555714, 'last_close': 176.06, 'move_pct': 0.0057}"
INFY.NS,BUY,1504.9,1454.8,1605.1,0.88,market_structure_orderblock,intraday,2025-10-09T12:17:50.715074+05:30,"{'last_peak_idx': 301, 'last_trough_idx': 377, 'peak_price': 1544.0, 'trough_price': 1454.8, 'zone_range': 89.2, 'buy_threshold': 1479.1516, 'sell_threshold': 1519.6484, 'atr': 10.86431, 'last_close': 1504.9, 'move_pct': 0.0998}"
ICICIBANK.NS,BUY,1376.2,1363.4,1401.7998,0.88,market_structure_orderblock,intraday,2025-10-09T12:17:51.514933+05:30,"{'last_peak_idx': 371, 'last_trough_idx': 361, 'peak_price': 1380.9, 'trough_price': 1363.4, 'zone_range': 17.5, 'buy_threshold': 1368.1775, 'sell_threshold': 1376.1225, 'atr': 5.964286, 'last_close': 1376.2, 'move_pct': 0.0945}"
ITC.NS,SELL,399.2,405.55,386.5001,0.85,market_structure_orderblock,intraday,2025-10-09T12:17:52.305641+05:30,"{'last_peak_idx': 356, 'last_trough_idx': 351, 'peak_price': 405.55, 'trough_price': 400.05, 'zone_range': 5.5, 'buy_threshold': 401.5515, 'sell_threshold': 404.0485, 'atr': 1.296432, 'last_close': 399.2, 'move_pct': 0.0}"
HDFCLIFE.NS,SELL,751.6,763.3,728.2,0.89,market_structure_orderblock,intraday,2025-10-09T12:17:53.200557+05:30,"{'last_peak_idx': 370, 'last_trough_idx': 367, 'peak_price': 763.3, 'trough_price': 755.0, 'zone_range': 8.3, 'buy_threshold': 757.2659, 'sell_threshold': 761.0341, 'atr': 4.01072, 'last_close': 751.6, 'move_pct': 0.1066}"
WIPRO.NS,BUY,245.59,238.1,260.57,0.87,market_structure_orderblock,intraday,2025-10-09T12:17:54.404203+05:30,"{'last_peak_idx': 344, 'last_trough_idx': 351, 'peak_price': 240.57, 'trough_price': 238.1, 'zone_range': 2.47, 'buy_threshold': 238.7743, 'sell_threshold': 239.8957, 'atr': 1.267859, 'last_close': 245.59, 'move_pct': -0.061}"
ADANIENT.NS,BUY,2550.0,2487.0,2676.0,0.88,market_structure_orderblock,intraday,2025-10-09T12:17:55.201889+05:30,"{'last_peak_idx': 371, 'last_trough_idx': 351, 'peak_price': 2603.1001, 'trough_price': 2487.0, 'zone_range': 116.1001, 'buy_threshold': 2518.6953, 'sell_threshold': 2571.4048, 'atr': 21.62861, 'last_close': 2550.0, 'move_pct': 0.1021}"
TCS.NS,BUY,3040.3999,2894.3,3332.5996,0.85,market_structure_orderblock,intraday,2025-10-09T12:17:55.992238+05:30,"{'last_peak_idx': 286, 'last_trough_idx': 360, 'peak_price': 3181.0, 'trough_price': 2894.3, 'zone_range': 286.7, 'buy_threshold': 2972.5691, 'sell_threshold': 3102.7309, 'atr': 18.307146, 'last_close': 3040.3999, 'move_pct': 0.0132}"
KOTAKBANK.NS,BUY,2145.6001,1972.3,2492.2002,0.91,market_structure_orderblock,intraday,2025-10-09T12:17:56.933172+05:30,"{'last_peak_idx': 364, 'last_trough_idx': 335, 'peak_price': 2149.0, 'trough_price': 1972.3, 'zone_range': 176.7, 'buy_threshold': 2020.5391, 'sell_threshold': 2100.7609, 'atr': 12.507098, 'last_close': 2145.6001, 'move_pct': 0.1915}"
RELIANCE.NS,BUY,1371.0,1365.52,1381.97,0.98,market_structure_orderblock,intraday,2025-10-09T12:41:08.739929+05:30,"{""last_peak_idx"": 376, ""last_trough_idx"": 359, ""peak_price"": 1393.3, ""trough_price"": 1359.0, ""zone_range"": 34.3, ""buy_threshold"": 1368.3639, ""sell_threshold"": 1383.9361, ""atr"": 6.621434, ""last_close"": 1371.0, ""move_pct"": -0.3996}"
BHARTIARTL.NS,BUY,1936.5,1928.75,1951.99,0.94,market_structure_orderblock,intraday,2025-10-09T12:41:10.628507+05:30,"{""last_peak_idx"": 327, ""last_trough_idx"": 351, ""peak_price"": 1945.6, ""trough_price"": 1862.8, ""zone_range"": 82.7999, ""buy_threshold"": 1885.4044, ""sell_threshold"": 1922.9956, ""atr"": 11.514291, ""last_close"": 1936.5, ""move_pct"": -0.2678}"
SBIN.NS,SELL,859.4,855.96,866.28,0.93,market_structure_orderblock,intraday,2025-10-09T12:41:11.542218+05:30,"{""last_peak_idx"": 370, ""last_trough_idx"": 356, ""peak_price"": 874.1, ""trough_price"": 863.05, ""zone_range"": 11.05, ""buy_threshold"": 866.0666, ""sell_threshold"": 871.0833, ""atr"": 4.349997, ""last_close"": 859.4, ""move_pct"": -0.2264}"
TATAMOTORS.NS,SELL,673.2,670.51,678.59,0.89,market_structure_orderblock,intraday,2025-10-09T12:41:12.331980+05:30,"{""last_peak_idx"": 358, ""last_trough_idx"": 344, ""peak_price"": 722.3, ""trough_price"": 669.4, ""zone_range"": 52.9, ""buy_threshold"": 683.8417, ""sell_threshold"": 707.8583, ""atr"": 5.467861, ""last_close"": 673.2, ""move_pct"": 0.119}"
TATASTEEL.NS,BUY,175.75,175.05,177.16,0.91,market_structure_orderblock,intraday,2025-10-09T12:41:13.091101+05:30,"{""last_peak_idx"": 359, ""last_trough_idx"": 368, ""peak_price"": 174.13, ""trough_price"": 169.94, ""zone_range"": 4.19, ""buy_threshold"": 171.0839, ""sell_threshold"": 172.9861, ""atr"": 1.624286, ""last_close"": 175.75, ""move_pct"": -0.1704}"
INFY.NS,BUY,1508.3,1502.27,1520.37,0.96,market_structure_orderblock,intraday,2025-10-09T12:41:14.115334+05:30,"{""last_peak_idx"": 301, ""last_trough_idx"": 377, ""peak_price"": 1544.0, ""trough_price"": 1454.8, ""zone_range"": 89.2, ""buy_threshold"": 1479.1516, ""sell_threshold"": 1519.6484, ""atr"": 11.514308, ""last_close"": 1508.3, ""move_pct"": 0.3259}"
ICICIBANK.NS,BUY,1373.0,1367.51,1383.98,0.9,market_structure_orderblock,intraday,2025-10-09T12:41:16.038157+05:30,"{""last_peak_idx"": 371, ""last_trough_idx"": 361, ""peak_price"": 1380.9, ""trough_price"": 1363.4, ""zone_range"": 17.5, ""buy_threshold"": 1368.1775, ""sell_threshold"": 1376.1225, ""atr"": 6.121434, ""last_close"": 1373.0, ""move_pct"": -0.1382}"
LT.NS,BUY,3757.3,3742.27,3787.36,1.0,market_structure_orderblock,intraday,2025-10-09T12:41:16.787321+05:30,"{""last_peak_idx"": 330, ""last_trough_idx"": 350, ""peak_price"": 3789.8, ""trough_price"": 3626.0, ""zone_range"": 163.8, ""buy_threshold"": 3670.7174, ""sell_threshold"": 3745.0826, ""atr"": 21.314296, ""last_close"": 3757.3, ""move_pct"": -0.4952}"
ITC.NS,SELL,399.1,397.5,402.29,0.86,market_structure_orderblock,intraday,2025-10-09T12:41:17.560342+05:30,"{""last_peak_idx"": 356, ""last_trough_idx"": 351, ""peak_price"": 405.55, ""trough_price"": 400.05, ""zone_range"": 5.5, ""buy_threshold"": 401.5515, ""sell_threshold"": 404.0485, ""atr"": 1.31429, ""last_close"": 399.1, ""move_pct"": -0.0251}"
SUNPHARMA.NS,BUY,1646.1,1639.52,1659.27,0.88,market_structure_orderblock,intraday,2025-10-09T12:41:18.746274+05:30,"{""last_peak_idx"": 374, ""last_trough_idx"": 332, ""peak_price"": 1659.0, ""trough_price"": 1580.0, ""zone_range"": 79.0, ""buy_threshold"": 1601.567, ""sell_threshold"": 1637.433, ""atr"": 9.349976, ""last_close"": 1646.1, ""move_pct"": 0.0851}"
TCS.NS,BUY,3053.0,3040.79,3077.42,0.99,market_structure_orderblock,intraday,2025-10-09T12:41:20.537635+05:30,"{""last_peak_idx"": 286, ""last_trough_idx"": 360, ""peak_price"": 3181.0, ""trough_price"": 2894.3, ""zone_range"": 286.7, ""buy_threshold"": 2972.5691, ""sell_threshold"": 3102.7309, ""atr"": 19.642857, ""last_close"": 3053.0, ""move_pct"": 0.4276}"
HDFCLIFE.NS,SELL,751.65,748.64,757.66,0.89,market_structure_orderblock,intraday,2025-10-09T12:41:22.180887+05:30,"{""last_peak_idx"": 370, ""last_trough_idx"": 367, ""peak_price"": 763.3, ""trough_price"": 755.0, ""zone_range"": 8.3, ""buy_threshold"": 757.2659, ""sell_threshold"": 761.0341, ""atr"": 4.085724, ""last_close"": 751.65, ""move_pct"": 0.1132}"
TITAN.NS,BUY,3541.8999,3527.73,3570.24,0.88,market_structure_orderblock,intraday,2025-10-09T12:41:23.071212+05:30,"{""last_peak_idx"": 362, ""last_trough_idx"": 376, ""peak_price"": 3453.3, ""trough_price"": 3411.1001, ""zone_range"": 42.2, ""buy_threshold"": 3422.6207, ""sell_threshold"": 3441.7795, ""atr"": 28.921369, ""last_close"": 3541.8999, ""move_pct"": 0.0904}"
